0	I want a red car with heated seats.
1	I want a blue car with CarPlay.
2	I want an old and cheap car with emission volume of 3.0.
3	I want an expensive car with all configurations.
4	I want a black car with navigation system and moderate price.
5	I want a car with high performance.
6	I want a Tesla electric car at lowest price.
7	I want a cheap V-8 engine car.
8	I want a white car with rich technology.
9	I want a diesel-driven car with high engine power.
10	I want a small emission volume car with CarPlay.
11	I want a light-color 2018 Ford SUV.
12	I want a red car with high safety configurations.
13	I want to keep warm in winter and start the car remotely.
14	I am a student searching for a cost-effective car for school.
15	I am a racecar lover with limited budget.
16	I want a car with rich gear levels and high horse power.
17	I want a white four-wheels-drive BMW sedan.
18	I am a new driver seeking for a moderate emission volume car with moderate price.
19	I want an SUV with good performance in snowy weather.
