,name,price,exterior_color,interior_color,drive_train,mpg,fuel_type,transmission,engine,mileage,heated_seats,heated_steering_wheel,nav_sys,remote_start,carplay,bluetooth,brake_assist,blind_spot_monitor,year,drive_train_simple,fuel_type_simple,turbo,emission,cylinder,average_mpg,transmission_simple,price_level
0,2018 Ford Escape Titanium,25411,Blue Metallic,Charcoal Black,Front-wheel Drive,21–28,Gasoline,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,47114,True,True,True,True,True,True,True,True,2018,FWD,Gasoline,True,2.0,I4,24.5,6,moderate
1,2013 Jaguar XJ L Portfolio,28977,Ultimate Black,Jet,All-wheel Drive,16–24,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Supercharged,31208,False,True,True,False,False,True,True,False,2013,AWD,Gasoline,False,3.0,V6,20.0,8,moderate
2,2020 Volvo S60 T5 Momentum,32900,Osmium Gray Metallic,Charcoal,Front-wheel Drive,23–34,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,20077,False,False,False,True,True,True,True,False,2020,FWD,Gasoline,True,2.0,I4,28.5,8,moderate
3,2021 Toyota Highlander Hybrid Platinum,49846,Black,–,All-wheel Drive,35–34,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,35335,True,True,True,True,True,True,True,False,2021,AWD,Hybrid,False,2.5,I4,34.0,-1,moderate
4,2020 Lexus NX 300 F Sport,38689,Atomic Silver,Red,Front-wheel Drive,22–28,Gasoline,6-Speed Automatic,2.0L I4 16V PDI DOHC Turbo,26583,False,True,False,True,False,True,True,False,2020,FWD,Gasoline,True,2.0,I4,25.0,6,moderate
5,2019 Ford Expedition Max Platinum,66500,Agate Black Metallic,Ebony,Four-wheel Drive,Transmission,Gasoline,10-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo,21888,True,True,True,True,True,True,True,False,2019,AWD,Gasoline,True,3.5,V6,-1.0,10,expensive
6,2014 Land Rover Range Rover 5.0L Supercharged,37255,Corris Gray Metallic,Ebony / Cirrus,Four-wheel Drive,14–19,Gasoline,8-Speed Automatic,5.0L V8 32V GDI DOHC Supercharged,68419,True,True,True,False,True,True,True,False,2014,AWD,Gasoline,False,5.0,V8,16.5,8,moderate
7,2016 Mercedes-Benz AMG G AMG G 65 4MATIC,139995,Black,Designo Black,AWD,Transmission,Gasoline,7-Speed Automatic,6.0L V12 36V MPFI SOHC Twin Turbo,29596,True,True,True,False,False,True,True,False,2016,AWD,Gasoline,True,6.0,V12,-1.0,7,expensive
8,2021 Lexus GX 460 Base,63500,Starfire Pearl,Black,Four-wheel Drive,15–19,Gasoline,6-Speed Automatic,4.6L V8 32V MPFI DOHC,10787,True,False,True,False,False,True,True,False,2021,AWD,Gasoline,False,4.6,V8,17.0,6,expensive
9,2018 Toyota 4Runner Limited,40992,Super White,Sand Beige,Rear-wheel Drive,17–21,Gasoline,5-Speed Automatic,4.0L V6 24V MPFI DOHC,69525,True,False,True,False,False,True,True,False,2018,RWD,Gasoline,False,4.0,V6,19.0,5,moderate
