docid,content
0,"2018 Ford Escape Titanium, 25411, Blue Metallic, Charcoal Black, Front-wheel Drive, 21–28, Gasoline, 6-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 47114, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
1,"2013 Jaguar XJ L Portfolio, 28977, Ultimate Black, Jet, All-wheel Drive, 16–24, Gasoline, 8-Speed Automatic, 3.0L V6 24V GDI DOHC Supercharged, 31208, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
2,"2020 Volvo S60 T5 Momentum, 32900, Osmium Gray Metallic, Charcoal, Front-wheel Drive, 23–34, Gasoline, 8-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 20077, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
3,"2021 Toyota Highlander Hybrid Platinum, 49846, Black, –, All-wheel Drive, 35–34, Hybrid, Automatic CVT, 2.5L I4 16V PDI DOHC Hybrid, 35335, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
4,"2020 Lexus NX 300 F Sport, 38689, Atomic Silver, Red, Front-wheel Drive, 22–28, Gasoline, 6-Speed Automatic, 2.0L I4 16V PDI DOHC Turbo, 26583, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
5,"2019 Ford Expedition Max Platinum, 66500, Agate Black Metallic, Ebony, Four-wheel Drive, Transmission, Gasoline, 10-Speed Automatic, 3.5L V6 24V GDI DOHC Twin Turbo, 21888, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
6,"2014 Land Rover Range Rover 5.0L Supercharged, 37255, Corris Gray Metallic, Ebony / Cirrus, Four-wheel Drive, 14–19, Gasoline, 8-Speed Automatic, 5.0L V8 32V GDI DOHC Supercharged, 68419, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
7,"2016 Mercedes-Benz AMG G AMG G 65 4MATIC, 139995, Black, Designo Black, AWD, Transmission, Gasoline, 7-Speed Automatic, 6.0L V12 36V MPFI SOHC Twin Turbo, 29596, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
8,"2021 Lexus GX 460 Base, 63500, Starfire Pearl, Black, Four-wheel Drive, 15–19, Gasoline, 6-Speed Automatic, 4.6L V8 32V MPFI DOHC, 10787, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
9,"2018 Toyota 4Runner Limited, 40992, Super White, Sand Beige, Rear-wheel Drive, 17–21, Gasoline, 5-Speed Automatic, 4.0L V6 24V MPFI DOHC, 69525, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
10,"2020 Mercedes-Benz GLE 350 Base 4MATIC, 59904, Brilliant Blue Metallic, Black, All-wheel Drive, 19–26, Gasoline, 9-Speed Automatic, 2.0L I4 16V GDI DOHC Turbo, 21372, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
11,"2019 Mazda CX-9 Grand Touring, 35369, Titanium Flash Mica, Sand, Front-wheel Drive, 22–28, Gasoline, 6-Speed Automatic, 2.5L I4 16V GDI DOHC Turbo, 27972, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
12,"2016 Mercedes-Benz S-Class S 550, 47998, designo Diamond White Metallic, Tan, Rear-wheel Drive, 17–26, Gasoline, 7-Speed Automatic, 4.7L V8 32V GDI DOHC Twin Turbo, 67129, heated_seats, heated_steering_wheel, nav_sys, remote_start, carplay, bluetooth, brake_assist, blind_spot_monitor"
